scorer,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase,Implant,Implant,Implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
87,349.4814758300781,667.9635620117188,0.999963641166687,364.4970397949219,645.6905517578125,0.9999990463256836,344.8603210449219,639.0758056640625,0.999998927116394,359.55267333984375,574.0272216796875,0.9999997615814209,352.1314392089844,652.2447509765625,0.9999998807907104
88,351.83868408203125,666.611328125,0.9999932050704956,365.826171875,643.1575927734375,0.9999991655349731,346.3891296386719,638.8869018554688,0.9999988079071045,359.53143310546875,572.7714233398438,0.9999997615814209,353.6138916015625,650.926025390625,1.0
89,356.8846740722656,663.98876953125,0.9999996423721313,366.4168701171875,638.7955932617188,0.9999967813491821,345.8160400390625,638.8648071289062,0.9999994039535522,359.9136047363281,571.4085693359375,0.9999998807907104,356.0531005859375,648.626220703125,1.0
90,362.9964904785156,661.4890747070312,1.0,370.5325012207031,633.1685791015625,0.9999998807907104,351.23431396484375,636.3544921875,0.9999998807907104,359.1168212890625,570.581787109375,0.9999998807907104,361.555419921875,644.8213500976562,1.0
91,368.1565856933594,656.2850341796875,1.0,374.9719543457031,626.4374389648438,1.0,353.6729431152344,632.5372314453125,1.0,358.4555969238281,570.2997436523438,0.9999998807907104,365.2503356933594,640.1426391601562,1.0
92,385.1648254394531,646.8934936523438,1.0,381.3691711425781,620.5393676757812,0.9999995231628418,361.4747619628906,631.7762451171875,0.9999998807907104,357.4075927734375,570.1029663085938,0.9999998807907104,374.7298583984375,633.9412841796875,1.0
93,392.3331604003906,641.6197509765625,0.9999998807907104,384.0010986328125,618.2105712890625,0.9999997615814209,365.96868896484375,632.5267333984375,0.9999998807907104,356.8903503417969,569.9043579101562,0.9999998807907104,379.27362060546875,633.1468505859375,1.0
94,398.4878234863281,637.174560546875,0.9999997615814209,386.1578369140625,617.0689086914062,1.0,370.136474609375,633.046875,0.9999998807907104,356.68310546875,569.6881103515625,0.9999998807907104,383.3094787597656,631.0700073242188,1.0
95,398.48785400390625,637.174560546875,0.9999997615814209,386.1578674316406,617.0689697265625,1.0,370.1365051269531,633.046875,0.9999998807907104,356.6832275390625,569.6882934570312,0.9999998807907104,383.30950927734375,631.0700073242188,1.0
96,402.8140869140625,634.28271484375,1.0,388.4060974121094,617.1818237304688,1.0,374.39495849609375,634.0737915039062,1.0,356.4161376953125,569.532470703125,0.9999998807907104,387.5581970214844,630.3250732421875,1.0
97,405.9377746582031,631.4637451171875,1.0,390.1865234375,616.3060302734375,1.0,377.306396484375,632.6232299804688,0.9999998807907104,356.0621032714844,569.3630981445312,1.0,390.3450927734375,629.2615356445312,1.0
98,409.47406005859375,629.78173828125,1.0,392.3382568359375,615.6021728515625,1.0,382.0032958984375,633.4946899414062,0.9999997615814209,355.60113525390625,570.017578125,1.0,394.2140197753906,628.2923583984375,1.0
99,414.64532470703125,630.58740234375,1.0,394.7728271484375,615.0938110351562,1.0,385.15753173828125,634.0238647460938,1.0,355.88250732421875,570.6237182617188,1.0,398.9167785644531,628.6536865234375,1.0
100,418.8525085449219,630.2927856445312,1.0,399.3099365234375,615.4114379882812,1.0,390.7030029296875,636.3604125976562,1.0,355.74285888671875,574.2188110351562,1.0,403.6122741699219,630.115234375,1.0
101,423.14788818359375,631.2555541992188,1.0,403.4361572265625,617.1282958984375,1.0,395.7537841796875,636.8412475585938,0.9999998807907104,355.67498779296875,576.1607055664062,1.0,407.7588806152344,630.2445678710938,1.0
102,428.94580078125,632.2603149414062,1.0,408.1830139160156,617.257568359375,1.0,400.58612060546875,637.9000244140625,1.0,355.82440185546875,580.1461791992188,1.0,413.0653076171875,631.3814697265625,1.0
103,434.6240539550781,633.3965454101562,1.0,413.6651611328125,618.5379638671875,1.0,406.2199401855469,638.8043823242188,1.0,356.89691162109375,584.4444580078125,1.0,418.67822265625,632.2880859375,1.0
104,440.1004943847656,634.8323974609375,1.0,418.80224609375,619.2987670898438,1.0,413.0681457519531,639.728759765625,1.0,358.2719421386719,587.4498901367188,1.0,423.53704833984375,633.4505004882812,1.0
105,444.33251953125,637.2711791992188,1.0,423.3516540527344,620.9215087890625,1.0,418.5053405761719,641.3692016601562,1.0,359.2379455566406,593.2863159179688,1.0,429.1284484863281,635.3045654296875,1.0
106,449.5195007324219,638.482666015625,0.9999449253082275,427.3412170410156,626.1512451171875,0.999991774559021,420.4486999511719,643.6725463867188,0.9991777539253235,360.2689514160156,599.7999267578125,1.0,436.56072998046875,637.5339965820312,0.9999990463256836
107,455.73779296875,637.5249633789062,0.9999998807907104,432.69683837890625,624.2018432617188,1.0,429.41143798828125,644.9794311523438,0.9999997615814209,362.460205078125,605.8563232421875,0.9999995231628418,438.996826171875,637.3865356445312,1.0
108,460.6648254394531,638.2536010742188,0.9999998807907104,437.67236328125,624.3648681640625,1.0,433.8474426269531,644.4542236328125,1.0,366.1654968261719,612.9149169921875,1.0,444.5495300292969,637.9098510742188,1.0
109,467.13519287109375,635.5687255859375,1.0,443.4512939453125,624.6099243164062,1.0,439.9392395019531,645.8809204101562,1.0,370.8569030761719,619.2966918945312,0.9999998807907104,450.63018798828125,636.7343139648438,1.0
