scorer,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
104,597.3745727539062,321.80157470703125,1.0,580.9973754882812,349.38153076171875,0.9999997615814209,607.0997924804688,347.8896789550781,0.9999982118606567,590.4589233398438,458.57244873046875,0.9999973773956299
105,595.177978515625,313.445556640625,0.9999998807907104,579.4443969726562,340.54058837890625,1.0,604.0098266601562,338.86785888671875,0.9999995231628418,585.7940673828125,448.4042663574219,0.9999997615814209
106,595.2283935546875,306.53912353515625,1.0,578.9918823242188,330.76507568359375,0.9999997615814209,602.3790893554688,331.0386047363281,0.9999971389770508,584.6939086914062,439.5887451171875,0.9999995231628418
107,593.3119506835938,296.9726257324219,0.9999997615814209,577.1813354492188,322.4341125488281,0.9999997615814209,600.5634765625,322.6955261230469,0.9999996423721313,583.4384155273438,432.9258728027344,1.0
108,593.3875122070312,287.644287109375,0.9999998807907104,575.6549682617188,313.3204345703125,0.9999985694885254,599.4598388671875,314.18609619140625,0.9999996423721313,582.5257568359375,425.7651062011719,0.9999992847442627
109,592.2224731445312,279.9400329589844,0.9999994039535522,575.8688354492188,303.9627380371094,0.9999984502792358,598.016845703125,305.03936767578125,0.9999998807907104,583.4147338867188,416.38690185546875,1.0
110,591.3404541015625,269.2755126953125,0.999998927116394,573.8787841796875,294.4468994140625,0.9999997615814209,596.9840087890625,295.45062255859375,0.9999996423721313,582.2932739257812,405.10626220703125,1.0
111,590.555908203125,259.7523498535156,0.9999998807907104,571.6724243164062,283.47796630859375,0.9999972581863403,596.0211181640625,286.0578918457031,0.9999998807907104,579.0419921875,395.749755859375,0.9999995231628418
112,589.1127319335938,249.97703552246094,0.9999972581863403,572.49658203125,274.5169372558594,0.9999998807907104,595.5592651367188,275.9006652832031,1.0,578.1465454101562,387.4892578125,1.0
113,588.0508422851562,241.2740936279297,0.9999995231628418,572.0684814453125,265.81317138671875,0.9999971389770508,595.2968139648438,265.1133117675781,0.9999996423721313,578.7406616210938,375.7529296875,0.9999998807907104
114,585.9359130859375,234.29501342773438,0.9999964237213135,570.846923828125,257.4579772949219,0.9999996423721313,593.2855834960938,257.90692138671875,0.9999997615814209,578.39697265625,366.9416198730469,1.0
115,583.6484985351562,225.55198669433594,0.9999998807907104,569.7733764648438,250.59164428710938,0.9999947547912598,592.8516235351562,249.8027801513672,0.9999994039535522,575.3128051757812,356.32763671875,0.9999998807907104
116,580.0865478515625,218.71649169921875,0.9999996423721313,569.712646484375,241.34893798828125,0.9999988079071045,590.8870849609375,240.00399780273438,0.9999973773956299,574.2643432617188,348.1353759765625,0.9999954700469971
117,580.6192626953125,209.69345092773438,1.0,564.824951171875,234.3958282470703,0.9999995231628418,589.4661254882812,232.92416381835938,0.9999982118606567,576.62646484375,341.6012268066406,1.0
118,579.1221923828125,201.6134796142578,0.9999998807907104,564.0623779296875,225.8264617919922,1.0,587.6917724609375,225.18576049804688,0.9999991655349731,576.3131713867188,334.5848693847656,0.9999997615814209
119,579.7431640625,194.3532257080078,1.0,563.2177734375,218.79653930664062,0.9999997615814209,586.2694091796875,218.84732055664062,0.9999964237213135,573.1572265625,328.3731689453125,0.9999957084655762
120,580.1141357421875,188.0481719970703,0.9999998807907104,563.07177734375,209.77001953125,0.9999997615814209,585.2952880859375,211.211669921875,0.9999995231628418,571.9397583007812,319.2012023925781,0.9999970197677612
121,578.2888793945312,179.0897674560547,1.0,561.7642822265625,202.21214294433594,0.9999995231628418,584.8414916992188,203.07794189453125,0.9999985694885254,570.8430786132812,310.494140625,0.9999964237213135
122,577.4478149414062,169.96405029296875,0.9999992847442627,562.4491577148438,192.08590698242188,0.9999996423721313,584.0723266601562,192.29510498046875,0.9999990463256836,567.8408813476562,303.4212646484375,0.9999992847442627
123,578.582275390625,163.27511596679688,0.9999997615814209,562.251220703125,183.94778442382812,0.999998927116394,583.3897094726562,183.4714813232422,0.9999979734420776,568.0062255859375,290.68048095703125,0.9999998807907104
124,576.9600830078125,156.49673461914062,0.9999988079071045,562.043212890625,179.90484619140625,0.9999998807907104,584.5015258789062,180.234130859375,0.9999984502792358,566.8661499023438,284.7801208496094,0.9999996423721313
125,576.3051147460938,151.7476806640625,0.999992847442627,562.5672607421875,176.7406768798828,0.9999997615814209,585.1915893554688,177.4146270751953,0.9999990463256836,563.470703125,281.53857421875,0.9999997615814209
126,576.072998046875,153.1923370361328,0.9999964237213135,561.5431518554688,177.76966857910156,0.9999997615814209,583.811279296875,178.61544799804688,0.9999995231628418,559.270263671875,280.7482604980469,0.9999990463256836
127,573.2846069335938,152.42369079589844,0.9999964237213135,559.201904296875,180.9907684326172,0.9999992847442627,583.2894287109375,181.19175720214844,0.9999996423721313,556.0785522460938,280.7999572753906,0.9999947547912598
128,571.6336059570312,153.6436309814453,0.9999973773956299,558.3828125,184.03285217285156,0.9999985694885254,583.3601684570312,183.4948272705078,0.9999991655349731,553.4756469726562,280.7141418457031,0.999997615814209
